职位名称,公司名称,薪资
python开发实习生,东方汇智资产管理有限公司,400元/天
大数据开发工程师 不接受实习,上海好课汇学文化传媒有限公司,9千-1.2万
Python 开发实习生,深圳市觅辰信息技术有限公司,3-3.5千
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
Python数据工程师,青岛清数科技有限公司,6千-1万
Python数据工程师,青岛云智环境数据管理有限公司,6千-1万
python开发,深圳华搜信息科技有限公司,1.2-2.4万
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师24届,上海好课汇学文化传媒有限公司,1-1.4万·13薪
软件开发实习生(Python/Vue3）,凯易讯网络技术开发（南京）有限公司,280元/天
Python/Django Web开发工程师,深圳市麦士德福科技股份有限公司,6-8千
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
Python数据分析师,湖南润科通信科技有限公司,5-8千
python开发工程师,上扬软件（上海）有限公司,7千-1万
python开发,江苏润和软件股份有限公司,1-1.5万
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师,深圳华搜信息科技有限公司,1.2-2.4万·14薪
python开发工程师,上扬软件（上海）有限公司,7千-1万·13薪
python开发工程师,陕西卓正网络科技有限公司,5-8千·13薪
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师,广州致远电子股份有限公司,7-8千·13薪
初级数据分析师 接受IT转岗,燧浦（上海）智能科技有限公司,8千-1.2万
Python开发（包食宿/年终奖）,河南朔玛信息技术服务有限公司,1.2-1.5万·14薪
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
AI软件开发与测试实习生,深圳市傲视群雄贸易有限公司,5.5-8.5千·13薪
后端研发工程师（Python）-北京 (MJ003534),福建博思软件股份有限公司,1.3-1.9万·13薪
AI低代码开发,南京软杰信息科技有限公司,4-6千
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python后端开发工程师,河南列阁影视传媒有限公司,6-8千·13薪
python开发,成都速拓新科技有限公司,1-1.5万
Python数据工程师（爬虫方向）,青岛云智环境数据管理有限公司,6千-1万
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师,浙江热联同裕实业有限公司,20-40万/年
Python数据工程师（爬虫方向）,青岛清数生态文明研究院有限公司,6千-1万
AI软件开发与测试实习生,深圳市魅汇贸易有限公司,5.5-8.5千
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
Python开发实习生,上海计算机软件技术开发中心,180元/天
Python/Django Web开发工程师,深圳市麦士德福科技股份有限公司,7千-1.1万
软件开发python（双休 15薪）,深圳众芯优创科技有限公司,2-4万·14薪
大数据分析助理工程师,深圳市东腾风科技有限公司,6-9千
python开发助理,长沙贰阳科技有限公司,6.5-9.5千
校招职位-视觉数据开发岗,商飞智能技术有限公司,16-30万/年
python开发工程师,深圳华搜信息科技有限公司,1.2-2.4万·14薪
AI程序员,云南独木桥投资有限公司,5千-1万
Python开发工程师（2026届）,友邦资讯科技（广州）有限公司,4-5千
Java开发实习生（26、27届）,亚信科技（中国）有限公司,3-4千
python开发工程师,深圳华搜信息科技有限公司,1.2-2.4万·14薪
ETL开发实习生（提供住宿）,深圳市长亮科技股份有限公司,6千-1万
AI开发工程师-实习生（银川）,中国电信宁夏公司,
2026届计算机应届生,宁波江丰电子材料股份有限公司,6-7千·14薪
Python开发工程师,广州市点易资讯科技有限公司,8千-1.4万
python开发工程师,北京机电工程研究所,1.5-2.5万
初级数据分析师 2425应届生优先,沪上灵犀科技（上海）有限公司,9千-1.3万
BI大数据分析实习生,深圳市魅汇贸易有限公司,6千-1万
Python软件工程师,安科瑞电气股份有限公司,1.1-2.2万
计算机人才（应届生亦可）,亿泰和信息技术（上海）有限公司,4-8千
开发工程师（应届生）,上海贺唐智能科技有限公司,8千-1.5万
AI工程师,万向钱潮股份公司,8千-1.2万
python开发工程师,深圳华搜信息科技有限公司,1.2-2.4万·14薪
大数据分析实习生,深圳市魅汇贸易有限公司,5-8千
Python数据开发工程师（实习）,上海联和金融信息服务有限公司,150元/天
大模型 Python 后端实习生,杭州市滨江区浙工大人工智能创新研究院,160元/天
python开发工程师 线上面试,武汉佰钧成技术有限责任公司,9千-1.3万·13薪
Golang实习生,知行汽车科技（苏州）股份有限公司,200元/天
Python数据处理工程师,广州杰纳医药科技发展有限公司,7千-1万
Python开发工程师,深圳市中泰安投资有限公司,8千-1.5万
大数据开发助理工程师,山西飞马数据科技有限公司,7千-1.2万
初级大数据开发工程师,上海深维智擎科技有限公司,9千-1.3万
AI训练师(J11062),广州极飞科技股份有限公司,8千-1万
ai开发工程师,完美（中国）有限公司,7千-1万
大数据开发实习生,河南瑞出工业设计有限公司,7-9千·13薪
数据开发实习生,越亮传奇科技股份有限公司,160元/天
Python数据工程师（爬虫方向）,青岛清数科技有限公司,6千-1万
Java开发实习生（26届）,亚信科技（中国）有限公司,3-4千
软件开发学徒,浙江正庄实业有限公司,4.5-6千
IT实习生,华通电脑（惠州）有限公司,4-6千
软件测试工程师（15薪+六险一金）,深圳众芯优创科技有限公司,2-4万·14薪
Python自动化测试,成都臻琰科技有限公司,7-8千
大数据分析助理（双休）,深圳市普开通信技术有限公司,6-9.6千·13薪
python开发工程师,深圳华搜信息科技有限公司,1.2-2.4万·14薪
数据开发工程师(J10175),福建佳通轮胎有限公司,7千-1万
大数据分析实习生,深圳市科锐鑫成科技有限公司,5.5-8千
python开发实习生（杭州）,杭州知衣科技有限公司,5-8千
数据分析（石家庄）,筑万物（上海）工程管理有限公司,9千-1.1万
校招-AI工程师,海程邦达国际物流有限公司,7千-1万
Data Analyst 数据分析员(Python),陆逊梯卡华宏（东莞）眼镜有限公司,5千-1万·13薪
AI工程师(实习）,东莞市天钻饰品有限公司,5-7千·13薪
人工智能工程师实习生,河南芯码智能科技有限公司,6-8千
C03 信息技术类（实习）,上海证券交易所,
java初级程序员,金德管业集团有限公司,8千-1.2万
AI助理工程师,聚灿光电科技股份有限公司,6-7.5千
大数据工程师助理双休,河南芯码智能科技有限公司,6-8千·13薪
大数据开发工程师 计算机理工科优先,沪上灵犀科技（上海）有限公司,8千-1.2万
python开发工程师,深圳华搜信息科技有限公司,1.2-2.4万·14薪
AI开发工程师,福州领视网络科技有限公司,8千-1.6万
大数据开发助理,深圳市魅汇贸易有限公司,6.5-9千
计算机类（2026届校招）,海澜之家集团股份有限公司,8千-1.5万
Python RPA工程师,上海必盈特软件系统有限公司,8千-1.1万·13薪
大数据分析实习生(双休）,深圳市傲视群雄贸易有限公司,6-9千·13薪
IT实习生,华测检测认证集团股份有限公司,100元/天
软件测试工程师应届生本科双休,河南芯码智能科技有限公司,8千-1.3万·13薪
Python工具方向,上海道之科技有限公司,150元/天
大数据分析助理工程师,深圳市傲视群雄贸易有限公司,6.5-9千·13薪
Java&Python开发工程师（AI算法方向）,深圳市瑞维控股有限公司,7千-1.2万·13薪
AI 软件开发工程师,FIL（大连）科技有限公司,14-15万/年
软件开发（可实习）,湖北勇士保安服务有限公司,6千-1.2万
爬虫工程师,合肥丰实网络科技有限公司,6-8千·13薪
大数据分析助理工程师,深圳市科锐鑫成科技有限公司,5.8-8千
人工智能工程师实习,陕西华码半导体科技有限公司,7-9千·14薪
AI应用工程师26届（数据方向）,松下信息系统（上海）有限公司,6千-1万·14薪
初级数据分析师,上海深维智擎科技有限公司,8千-1万
AI算法研发助理（贵阳）,中国通信服务股份有限公司,
AI数据分析,银河渡口（北京）科技有限公司,300元/天
2026届校招-数字化工程师,仙乐健康科技股份有限公司,7千-1万·14薪
Python老师（入职买社保）,广州爱酷丁科技有限公司,7千-1.2万
AI软件开发测试实习生,深圳市魅汇贸易有限公司,6-9千·13薪
AI 研发管培生（欢迎应届）,湖北中康众盛生物科技有限公司,5千-1万
SOC数据可视化开发实习生(J10240),中茵微电子（北京）有限公司,200元/天
大数据应用工程师(2026届校园招聘)-福州,中电福富信息科技有限公司,6千-1.1万
数据标注实习生,天津环球文化科技有限公司,7千-1.2万
Python开发实习生（2027届）,陆逊梯卡华宏（东莞）眼镜有限公司,3.5-5千
计算机岗位8-10k小白可带,陕西华码半导体科技有限公司,8千-1万·14薪
IT管培生,广东伊莱特科技股份有限公司,4.5-5.5千·13薪
数据库运维实习生,上海新炬网络信息技术股份有限公司,120元/天
BI / ETL / 数据开发实习生,友邦资讯科技（广州）有限公司,4-4.5千
Web开发程序员,东莞联丰企业管理咨询服务有限公司,5-6千
AI 算法工程师助理,河北开诚绽放影视传媒有限公司,6千-1万
初级爬虫工程师,重庆金柚智融科技有限公司,7-8千
计算机实习生,哈尔滨迪发信息咨询有限公司,4-7千
数据库工程师（国企应届生岗位）,成都星云智联科技有限公司,8千-1万
数据分析师-23-25年校招,肇庆市福加德投资控股有限公司,5-8千
大数据分析师,湖北佳昇机电设备有限公司,1-1.5万
python编程老师,昆明高新区爱因森教育培训学校有限公司,6千-1万
数据分析师-计算机理工科2425届优先.,上海好课汇学文化传媒有限公司,1.1-1.4万
数据算法/向量化数据库工程师,江苏百英生物科技有限公司,8千-1.5万·14薪
大数据分析师,湖北佳昇机电设备有限公司,1-1.5万
RPA软件初级开发工程师,广东凯捷商业数据处理服务有限公司,6-8千
数据库开发工程师,河南芯码智能科技有限公司,7-8千·13薪
大数据开发工程师25,上海好课汇学文化传媒有限公司,1.3-1.7万
数据开发助理工程师,深圳市科锐鑫成科技有限公司,5.8-8千·13薪
软件工程师（2026届毕业生）,成都星云智联科技有限公司,8千-1万
研发管培 - AI与数据工程师（重庆）,大陆投资（中国）有限公司,1-1.2万
大数据和AI工程师（惠州）,中国电信广东公司,
大数据分析实习生,深圳市科锐鑫成科技有限公司,6-9千
ai工程师,广东诗妃化妆品有限公司,7千-1.2万
运维开发工程师-python,北京首都在线科技股份有限公司,1.2-2.4万·14薪
ai深度学习工程师助理,河南芯码智能科技有限公司,7-9千·13薪
量化IT实习生,上海弈倍私募基金管理有限公司,150元/天
Python工程师 不加班,成都志合信蒙科技有限公司,6千-1.2万
大数据开发实习生,河南列阁影视传媒有限公司,6-8千·13薪
数据分析实习生,中国太平洋财产保险股份有限公司华南运营中心,150元/天
大数据分析,上海钧如科技有限公司,8千-1.5万
软件测试实习生2026(J21529),快助（天津）科技有限公司,6-8千
QT开发,成都零夏八度科技有限公司,7-8千
